stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
TAE:ST:AUTO$1624590965,,"EGLISE DES ESSARTS","",0,0,,,1,,0,
TAE:ST:AUTO$1624590966,,"STADE GEO ANDRE","",0,0,,,1,,0,
TAE:ST:AUTO$1624590967,,"712 ROUTE DES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$1624590969,,"CIMETIERE CENTRE","",0,0,,,1,,0,
TAE:ST:AUTO$1624590970,,"LYCEE DES BRUYERES","",0,0,,,1,,0,
TAE:ST:AUTO$1624590973,,"CAPUCINES","",0,0,,,1,,0,
TAE:ST:AUTO$1624590974,,"COMPLEXE SPORTIF","",0,0,,,1,,0,
TAE:ST:AUTO$1624590998,,"HIPPODROME DES BRULINS","",0,0,,,1,,0,
TAE:ST:AUTO$1745550520,,"MAIRIE DE FRENEUSE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550521,,"HAMEAU BOURDET","",0,0,,,1,,0,
TAE:ST:AUTO$1745550522,,"BOUT DE LA VILLE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550523,,"ILE DE FRENEUSE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550524,,"LA RIBERDERIE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550525,,"LE HAZET","",0,0,,,1,,0,
TAE:ST:AUTO$1745550526,,"LA RONCE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550527,,"HAMEAU FRERET","",0,0,,,1,,0,
TAE:ST:AUTO$1745550530,,"ECLUSES","",0,0,,,1,,0,
TAE:ST:AUTO$1745550531,,"COUVENT","",0,0,,,1,,0,
TAE:ST:AUTO$1745550690,,"RTE DE LOUVIERS","",0,0,,,1,,0,
TAE:ST:AUTO$1745550693,,"LIEROULT","",0,0,,,1,,0,
TAE:ST:AUTO$1745550721,,"SEVESTRE AINE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550722,,"FRAENCKEL","",0,0,,,1,,0,
TAE:ST:AUTO$1745550723,,"FLAVIGNY","",0,0,,,1,,0,
TAE:ST:AUTO$1745550746,,"MARE AUX BOEUFS","",0,0,,,1,,0,
TAE:ST:AUTO$1745550747,,"ECOLE ST EXUPERY","",0,0,,,1,,0,
TAE:ST:AUTO$1745550752,,"EGLISE DE CAUDEBEC","",0,0,,,1,,0,
TAE:ST:AUTO$1745550753,,"LA RUCHE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550754,,"CERISAIE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550755,,"RENAUDEL","",0,0,,,1,,0,
TAE:ST:AUTO$1745550756,,"COUSTEAU","",0,0,,,1,,0,
TAE:ST:AUTO$1745550757,,"EUGENE POTTIER","",0,0,,,1,,0,
TAE:ST:AUTO$1745550758,,"LEO LAGRANGE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550759,,"MAIRIE DE CAUDEBEC","",0,0,,,1,,0,
TAE:ST:AUTO$1745550910,,"LES CHENES","",0,0,,,1,,0,
TAE:ST:AUTO$1745550911,,"CHARTRIER","",0,0,,,1,,0,
TAE:ST:AUTO$1745550912,,"PERE FRETE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550913,,"PUITS A SILEX","",0,0,,,1,,0,
TAE:ST:AUTO$1745550914,,"BREANT","",0,0,,,1,,0,
TAE:ST:AUTO$1745550915,,"VAL CARON","",0,0,,,1,,0,
TAE:ST:AUTO$1745550916,,"VERLAINE","",0,0,,,1,,0,
TAE:ST:AUTO$1745550917,,"BOSC TARD","",0,0,,,1,,0,
TAE:ST:AUTO$1745550918,,"ARGILIER","",0,0,,,1,,0,
TAE:ST:AUTO$1745550919,,"BAUDELAIRE","",0,0,,,1,,0,
TAE:ST:AUTO$179466579,,"MAIRIE DE FRENEUSE","",0,0,,,1,,0,
TAE:ST:AUTO$179466580,,"HAMEAU BOURDET","",0,0,,,1,,0,
TAE:ST:AUTO$179466581,,"BOUT DE LA VILLE","",0,0,,,1,,0,
TAE:ST:AUTO$179466582,,"ILE DE FRENEUSE","",0,0,,,1,,0,
TAE:ST:AUTO$179466583,,"LA RIBERDERIE","",0,0,,,1,,0,
TAE:ST:AUTO$179466584,,"LE HAZET","",0,0,,,1,,0,
TAE:ST:AUTO$179466585,,"LA RONCE","",0,0,,,1,,0,
TAE:ST:AUTO$179466586,,"HAMEAU FRERET","",0,0,,,1,,0,
TAE:ST:AUTO$179466589,,"ECLUSES","",0,0,,,1,,0,
TAE:ST:AUTO$179466590,,"COUVENT","",0,0,,,1,,0,
