route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
TAE:100,TAE,"100","Champ de Foire  Casanova","",3,,FDC300,000000
TAE:101,TAE,"101","Champ de Foire  Pôle Multimodal-Cotoni","",3,,FDC300,000000
TAE:102,TAE,"102","Champ de Foire  Beau Site","",3,,FDC300,000000
TAE:103,TAE,"103","Collège Cousteau  Moulin Saint-Etienne","",3,,FDC300,000000
TAE:104,TAE,"104","Collège J. Brel  Casanova","",3,,FDC300,000000
TAE:106,TAE,"106","Collège J. Brel  Beau Site","",3,,FDC300,000000
TAE:111,TAE,"A","Mairie de Saint-Pierre-Les-Elbeuf  Mairie de Cléon","",3,,CD1821,FFFFFF
TAE:112,TAE,"B","Parc Saint-Cyr  Ecole de La Londe","",3,,354093,FFFFFF
TAE:113,TAE,"C","Bosc Tard  Les Arches","",3,,9E2C87,FFFFFF
TAE:114,TAE,"E","Mairie de Cléon  Moulin Saint-Etienne","",3,,00A266,FFFFFF
TAE:115,TAE,"F","Z.I. L'Oison  Pôle Multimodal d'Oissel","",3,,ED6896,FFFFFF
TAE:116,TAE,"D1","Parc Saint-Cyr  Mairie de Cléon","",3,,75462D,FFFFFF
TAE:117,TAE,"D2","Mairie de Saint-Pierre-Lès-Elbeuf  Pôle Multimodal d'Oissel","",3,,98C21D,000000
TAE:118,TAE,"F9","Champ de Foire  Théâtre des Arts","",3,,258BCB,FFFFFF
TAE:119,TAE,"G","Champ de Foire  Route du Bac","",3,,D1D035,000000
TAE:311,TAE,"311","Lycée Val de Seine  Champ de Foire","",3,,FDC300,000000
TCAR:01,TCAR,"F1","Plaine de la Ronce <> Stade Diochon","",3,,E6007E,ffffff
TCAR:02,TCAR,"F2","Centre commercial de La Vatine <> Tamarelle","",3,,A2559D,ffffff
TCAR:03,TCAR,"F3","Hôtel de Ville de Sotteville <> Tourville-la-Rivière","",3,,FFDD00,1d1d1b
TCAR:04,TCAR,"F4","Hameau de Frévaux <> Mont-Riboudet","",3,,EC6408,ffffff
TCAR:05,TCAR,"F5","Théâtre des Arts <> Lycée Galilée","",3,,AFCA0B,1d1d1b
