route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
TCAR:407,REGEN_32,TCAR:23738:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23739:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2374:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23740:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23741:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23742:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23743:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23744:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23745:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23746:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23747:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23748:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23749:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2375:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23750:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23751:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23752:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23753:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23754:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23755:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23756:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23757:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23758:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23759:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2376:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23760:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23761:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23762:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23763:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23764:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23765:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23766:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23767:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23768:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23769:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2377:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23770:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23771:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23772:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23773:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23774:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23775:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23776:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23777:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23778:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23779:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2378:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23780:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23781:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23782:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23783:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23784:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23785:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23786:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23787:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23788:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23789:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2379:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23790:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23791:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23792:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23793:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23794:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23795:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23796:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23797:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23798:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23799:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:92,REGEN_3115,TCAR:238:1602837,"","",1,,0,0,TCAR:AUTO_2587375
TCAR:90,REGEN_3546,TCAR:2380:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23800:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23801:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23802:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23803:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23804:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23805:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23806:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23807:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23808:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23809:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:90,REGEN_3546,TCAR:2381:1602744,"","",0,,0,0,TCAR:AUTO_2587101
TCAR:407,REGEN_32,TCAR:23810:1602823,"","",1,,0,0,TCAR:CALC_2587331
